name,type,region,website
Scruples & Wellies Animal Rescue,Full,South West England,www.scruplesandwellies.org
Setter Rescue Scotland,Full,Scotland,www.setterrescuescotland.co.uk
Severn Edge Vets Charity,Full,West Midlands,www.severnedgevets.co.uk
Shropshire Cat Rescue,Full,West Midlands,www.shropshirecatrescue.org.uk
Staffie Smiles,Full,West Midlands,www.staffiesmiles.com
The Surrey Border Collie & Sheepdog Welfare Society,Full,South East England,www.bordercolliewelfare.org
Underheugh Animal Sanctuary,Full,North East England,www.underheugh.co.uk
Viva Rescue,Full,West Midlands,www.vivarescue.org.uk
West London Dog Rescue,Full,London,www.wldr.org
Westmorland Animal Sanctuary,Full,North West England,www.westmorlandanimalsanctuary.org.uk
Wild at Heart Foundation,Full,National,www.wildatheartfoundation.org
Woodgreen The Animals Charity,Full,East England,www.woodgreen.org.uk
Yorkshire Animal Sanctuary,Full,Yorkshire & The Humber,www.yorkshireanimalsanctuary.co.uk
Yorkshire Coast Dog Rescue,Full,Yorkshire & The Humber,www.yorkshirecoastdogrescue.co.uk
