Rescue Name,Phone,Email,Address,Postcode
Bristol Dog Action Welfare Group,01179695332,info@dawg.org.uk,"16 SHERBOURNE AVENUE, BRADLEY STOKE, BRISTOL, BS32 8BB",BS32 8BB
Bulldog Rescue & Re-homing Trust,08712002450,bulldogrescue@btinternet.com,"P O BOX 18, MIDHURST, WEST SUSSEX, GU29 9YU",GU29 9YU
Carla Lane Animals In Need,01515490959,animals_inneed@hotmail.co.uk,"CARLA LANE ANIMALS IN NEED, FIR TREE ANIMAL SANCTURY, 3 SPURRIERS LANE, LIVERPOOL, L31 1BA",L31 1BA
Cheltenham Animal Shelter,01242548776,gm@gawa.org.uk,"CHELTENHAM ANIMAL SHELTER, GARDNERS LANE, CHELTENHAM, GL51 9JW",GL51 9JW
Chilterns Dog Rescue Society,01296623885,enquiries@cdrs.org.uk,"CHILTERNS DOG RESCUE SOCIETY, BROMLEY HEIGHTS, CHIVERY, TRING, HP23 6LD",HP23 6LD
Dogs Trust,02078370006,ContactCentre@dogstrust.org.uk,"17 WAKLEY STREET, LONDON, EC1V 7RQ",EC1V 7RQ
Eden Animal Rescue,01931716114,admin@edenanimalrescue.org.uk,"Moorlands Head Farm, Newbiggin, Temple Sowerby, PENRITH, CA10 1TH",CA10 1TH
Fen Bank Greyhound Sanctuary,07855690246,info@fenbankgreyhounds.co.uk,"15 HEWITTS MANOR, CLEETHORPES, DN35 9QT",DN35 9QT
Ferne Animal Sanctuary,0146065214,finance@ferneanimalsanctuary.org,"FERNE ANIMAL SANCTUARY, WAMBROOK, CHARD, TA20 3DH",TA20 3DH
Forest Dog Rescue,01299269181,info@forest-dog-rescue.org.uk,"GREEN GAP KENNELS, CLEOBURY ROAD, FAR FOREST, KIDDERMINSTER, WORCS, DY14 9DX",DY14 9DX
Forever Hounds Trust,03000125125,enquiries@foreverhoundstrust.org,"Cottage Kennels, Chave Lane, Brithem Bottom, CULLOMPTON, Devon, EX15 1NE",EX15 1NE
Freshfields Animal Rescue,01519311604,admin@freshfields.org.uk,"FRESHFIELDS ANIMAL RESCUE, EAST LODGE FARM, EAST LANE, LIVERPOOL, L29 3EA",L29 3EA
German Shepherd Rescue Elite,08456006628,info@gsrelite.co.uk,"Camelot Kennels, Round House, Launceston Road, Kelly Bray, CALLINGTON, Cornwall",
German Shepherd Rescue South,02392221485,ENQUIRIES@GSRS.ORG.UK,"48 Edward Grove, Fareham, PO16 8JA",PO16 8JA
Greenacres Rescue,01437781745,team@greenacresrescue.org.uk,"Greenacres Rescue Ltd, Ebbs Acres Farm, Talbenny, HAVERFORDWEST, SA62 3XA",SA62 3XA
Greyhound Gap,07917422489,enquiries@greyhoundgap.org.uk,"Grindle Stone Edge House, Cobmoor Road, Kidsgrove, Stoke-on-Trent, ST7 3PZ",ST7 3PZ
Greyhound Rescue Wales,0300 0123 999,info@greyhoundrescuewales.co.uk,"Hillcrest, Bryncethin Road, Garnant, Ammanford, SA18 1YS",SA18 1YS
Happy Staffie Rescue,03432896163,info@happystaffie.co.uk,"Happy Staffie Rescue, Unit 3, 4 Lisle Avenue, KIDDERMINSTER, Worcestershire, DY11 7DL",DY11 7DL
Holly Hedge Animal Sanctuary,01275474719,info@hollyhedge.org.uk,"Holly Hedge Sanctuary, Wild Country Lane, Barrow Gurney, BRISTOL, BS48 3SE",BS48 3SE
Hope Rescue,01443 226 659,ENQUIRIES@HOPERESCUE.ORG.UK,"Cynllan Lodge, Llanharan, PONTYCLUN, CF72 9NH",CF72 9NH
Jerry Green Dog Rescue,01652657820,sue.bloomfield@jerrygreendogs.org.uk,"Jerry Green Dog Rescue, Wressle, BRIGG, DN20 0BJ",DN20 0BJ
Just Springers Rescue,07849 532111,info@justspringersrescue.co.uk,"19 Lingfield Common Road, LINGFIELD, Surrey, RH7 6BU",RH7 6BU
Keith's Rescue Dogs,01754763543,keithsrescuedogs@yahoo.com,"5 BRIAR CLOSE, SKEGNESS, PE25 3QB",PE25 3QB
Labrador Lifeline Trust,01256884027,info@labrador-lifeline.com,"6 Tottenham Close, Bramley, Tadley, RG26 5NW",RG26 5NW
Labrador Rescue Trust,07791519084,enquiries@labrador-rescue.com,"LESTER ALDRIDGE SOLICITORS, 31 OXFORD ROAD, BOURNEMOUTH, BH8 8EX",BH8 8EX
Last Chance Animal Rescue,01732 865 530,general@lastchanceanimalrescue.co.uk,"83 Coast Drive, Greatstone, NEW ROMNEY, Kent, TN28 8NR",TN28 8NR
Lord Whisky Sanctuary Fund,01303862622,lord.whisky@btinternet.com,"THE LORD WHISKY SANCTUARY, PARK HOUSE, STELLING MINNIS, CANTERBURY, CT4 6AN",CT4 6AN
Margaret Green Animal Rescue,01929480474,admin@mgar.org.uk,"Nigel Mason, ANIMAL SANCTUARY, CHURCH KNOWLE, WAREHAM, DORSET, BH20 5NQ",BH20 5NQ
Maxi's Mates,07507104636,maxismates@gmail.com,"Carlin Howe Farmhouse, Tocketts, GUISBOROUGH, TS14 6RG",TS14 6RG
Mayflower Sanctuary,01302711330,info@mayflowersanctuary.co.uk,"Narrow Lane, Bawtry, Doncaster, South Yorkshire, DN10 6QJ",DN10 6QJ
National Animal Welfare Trust,02089500177,headoffice@nawt.org.uk,"NATIONAL ANIMAL WELFARE TRUST, TYLERS WAY, WATFORD, WD25 8WT",WD25 8WT
North Clwyd Animal Rescue,01745560546,reception@ncar.org.uk,"MAES GWYN, TRELOGAN, HOLYWELL, CH8 9BD",CH8 9BD
Oak Tree Animals' Charity,01228560082,info@oaktreeanimals.org.uk,"Oak Tree Animals Charity, Oak Tree Farm, Wetheral Shields, Wetheral, CARLISLE, CA4 8JA",CA4 8JA
Oldies Club,08445868656,oldies@oldies.org.uk,"49A KINROSS CLOSE, FEARNHEAD, WARRINGTON, WA2 0UT",WA2 0UT
Paws Animal Sanctuary,01903872734,pawsanimals@hotmail.co.uk,"15 THE OVAL, FINDON, WORTHING, BN14 0TN",BN14 0TN
Pennine Pen Animal Rescue,01616210819,penninepen@hotmail.co.uk,"PENNINE PEN ANIMAL RESCUE, RESOURCE CENTRE, HONEYWELL LANE, OLDHAM, OL8 2JP",OL8 2JP
Pointer Rescue Service,07917863360,secretary@theprs.org,"14 Aldridge Road, Ferndown, BH22 8LT",BH22 8LT
Redwings Horse Sanctuary,01508481001,info@redwings.co.uk,"Redwings Horse Sanctuary, Hapton, Norwich, NR15 1SP",NR15 1SP
Rochdale Dog Rescue,07939489363,rochdaledogrescue@btinternet.com,"13 Tavistock Road, Rochdale, OL11 2JB",OL11 2JB
Shropshire Cat Rescue,01743872857,finance@shropshirecatrescue.org.uk,"WINDYRIDGE, LYTH HILL ROAD, BAYSTON HILL, SHREWSBURY, SY3 0AU",SY3 0AU
The Greyhound Trust,02083353016,hello@greyhoundtrust.org.uk,"Greyhound Trust, National Greyhound Centre, Peeks Brook Lane, Horley, Surrey, RH6 9SX",RH6 9SX
The Mayhew Animal Home,0208 962 8000,info@mayhewanimalhome.org,"MAYHEW ANIMAL HOME, TRENMAR GARDENS, LONDON, NW10 6BJ",NW10 6BJ
Wild at Heart Foundation,02072291174,info@wildatheartfoundation.org,"Wild at Heart Foundation, 52 Linford Street, London, SW8 4UN",SW8 4UN
Yorkshire Coast Dog Rescue,01723365917,ycdogrescue@btinternet.com,"10 Wreyfield Drive, Scarborough, YO12 6NN",YO12 6NN
