Rescue Name,Charity Number,Region,DB Phone,DB Email,API Phone,API Email,API Address,API Postcode
The Mutts Nutts Rescue,1176283,East Midlands,,,01780654072,info@themuttsnuttsrescue.org,"28a Little Casterton Road, STAMFORD, PE9 1BE",PE9 1BE
Thornberry Animal Sanctuary,1205404,Yorkshire & The Humber,,,01909564399,admin@thornberryanimalsanctuary.org,"Thornberry Animal Sanctuary, The Stables, Todwick Road, Dinnington, SHEFFIELD, S25 3SE",S25 3SE
Three Counties Dog Rescue,1170606,East Midlands,,,01778424953,info@threecountiesdogrescue.org,"37 Spalding Road, BOURNE, Lincolnshire, PE10 0AU",PE10 0AU
UK Spaniel Rescue,1212215,National,,,07935652999,hello@ukspanielrescue.co.uk,"4 Bush Lane, Freckleton, PRESTON, PR4 1SA ",PR4 1SA
Warrington Animal Welfare,1057149,North West England,,,01925 748638,info@warringtonanimalwelfare.org.uk,"Slutchers lane, Bank Quay, Warrington, Cheshire, WA1 1NA ",WA1 1NA
West Yorkshire Dog Rescue,1132348,Yorkshire & The Humber,,,07711617148,info@westyorkshiredogrescue.co.uk,"Crow Hill Lodge, Carrs Road, Marsden, Huddersfield, West Yorkshire, HD7 6JH",HD7 6JH
Wirral Animal Welfare Association,518910,North West England,,,01516080894,kstrahan13@hotmail.com,"13 Bryanston Road, Birkenhead, CH42 8PT",CH42 8PT
Woodlands Animal Sanctuary,1190858,North West England,,,01704823293,info@animalsanctuary.org.uk,"WOODLANDS FARM, SANDY LANE, HOLMESWOOD, ORMSKIRK, L40 1UE",L40 1UE
Worcestershire Animal Rescue Shelter,514872,West Midlands,,,01905831651,secretary@wars.org.uk,"Worcs Animal Rescue Shelter, Hawthorn Lane, Newland, MALVERN, Worcestershire, WR13 5BD",WR13 5BD
Wythall Animal Sanctuary,1137681,West Midlands,,,01565656512,info@wythallanimalsanctuary.org,"LONG VIEW, MIDDLE LANE, KINGS NORTON, BIRMINGHAM, B38 0DU",B38 0DU
